movieID,movieTitle,genres,directorName,description,duration,actor_1_name,actor_2_name,actor_3_name,country,classificationRating,yearReleased,rantings,trailerLink,moviePicName,availability
AWhiskerAway2020,A Whisker Away,Fantasy,Junichi Sato,"Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous.",104,Mirai Shida,Natsuki Hanae,Hiroaki Ogi,Japan,PG,2020,6.7,https://www.youtube.com/watch?v=aXc9DVfLTGo,AWhiskerAway2020.png,0
Air2023,Air,Drama,Ben Affleck,"Follows the history of shoe salesman Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.",112,Matt Damon,Jason Bateman,Ben Affleck,USA,NC-16,2023,7.8,https://www.youtube.com/watch?v=Euy4Yu6B3nU,Air2023.png,0
Belle2021,Belle,Animation,Mamoru Hosoda,"Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a globally-beloved singer.",121,Kaho Nakamura,Ryō Narita,Shōta Sometani,Japan,PG,2021,7.1,https://www.youtube.com/watch?v=izIycj3j4Ow,Belle2021.png,1
BorntoFly2023,Born to Fly,Adventure,Liu Xiaoshi,"The story of a special operations team headed by elite pilots , being ordered to test new fighter jets. Test flight after test flight, they continue to challenge the sky and the limits of themselves.",120,Wang Yibo,Hu Jun,Zhou Dongyu,China,PG-13,2023,7.5,https://www.youtube.com/watch?v=3pt3cpD8Pao,BorntoFly2023.png,0
Bubble2022,Bubble,Animation,Tetsurō Araki,"Gravity-defying bubbles rain down, cutting off Tokyo from the rest of the world. The city skyline becomes a playground for young people competing in parkour team battles. Hibiki plummets into the sea but is saved by a girl with mysterious powers.",100,Jun Shison,Alice Hirose,Mamoru Miyano,Japan,R-21,2022,6.3,https://www.youtube.com/watch?v=8pbWblLkHHk,Bubble2022.png,1
DarkPhoenix2019,Dark Phoenix,Adventure,Simon Kinberg,"After a mishap, Jean Grey is struck by a powerful ray of energy which she absorbs into her body, turning her into an uncontrollable liability for the X-Men.",116,James McAvoy,Michael Fassbender,Jennifer Lawrence,USA,PG-13,2019,5.7,https://www.youtube.com/watch?v=1-q8C_c-nlM,DarkPhoenix2019.png,0
DawnofthePlanetoftheApes2014,Dawn of the Planet of the Apes,Action,Matt Reeves,"Caesar, a chimpanzee and leader of the evolved apes, allows a human family into his territory. However, due to a vindictive bonobo, misunderstandings arise between the two species, resulting in war.",130,Andy Serkis,Jason Clarke,Gary Oldman,USA,PG-13,2014,7.4,https://www.youtube.com/watch?v=DpSaTrW4leg,DawnofthePlanetoftheApes2014.png,0
DeepSea2023,Deep Sea,Fantasy,Tian Xiaopeng,"A girl strays into the dreamy deep sea world. In the deepest part of the sea, all secrets are hidden.A girl strays into the dreamy deep sea world.",112,Su Xin,Ji Jing,Wang Tingwen,China,PG,2023,7.1,https://www.youtube.com/watch?v=d4KTh-2K38c,DeepSea2023.png,1
Don'tWorryDarling2022,Don't Worry Darling,Drama,Olivia Wilde,"In the 1950s, Alice and Jack live in the idealized community of Victory, an experimental company town that houses the men who work on a top-secret project. While the husbands toil away, the wives get to enjoy the beauty, luxury and debauchery of their seemingly perfect paradise. However, when cracks in her idyllic life begin to appear, exposing flashes of something sinister lurking below the surface, Alice can't help but question exactly what she's doing in Victory.",123,Florence Pugh,Harry Styles,Chris Pine,USA,M-18,2022,6.2,https://www.youtube.com/watch?v=SZ2elR3OmWI,Don'tWorryDarling2022.png,0
DriftingHome2022,Drifting Home,Fantasy,Hiroyasu Ishida,"During summer break, sixth graders Kosuke and Natsume play in an apartment building set to be demolished. They find themselves caught up in a strange phenomenon. All they can see around them is a vast sea.",119,Mutsumi Tamura,Asami Seto,Ayumu Murase,Japan,PG,2022,6.2,https://www.youtube.com/watch?v=BSE2KGU5png&t=2s,DriftingHome2022.png,0
Dumb&DumberTo2014,Dumb & Dumber To,Comedy,Peter Farrelly,"Long-time friends and colossal fools Harry and Lloyd embark on a journey to find Harry's newly-discovered daughter and convince her to donate a kidney to Harry, whose health is deteriorating.",109,Jim Carrey,Jeff Daniels,Rob Riggle,USA,PG-13,2014,5.6,https://www.youtube.com/watch?v=mq1rt4iKuYg,Dumb&DumberTo2014.png,0
