reviewID,reviewText,reviewStars
1,The staff was polite and really nice theater but  but there's absolutely no place to sit down if you're waiting to enter the theater which they won't let you do until 10 minutes prior to Showtime... My wife has a back problem and my mother has MS.. I mean come on guys put some benches out!? Plenty of space in the lobby for some sitting space.,3
2,"It's wonderful experience to watch the movies, the sound quality is very good, but have the ticket counter to buy the ticket physically",5
3,"Small but wonderful theater!  Excellent picture quality and sound! Comfortable seating! Highly recommended.	",5
4,"Unprofessional staff at snacks counter. Placed an order and staff started cracking jokes about item and quantity ordered in our presence... For the price we pay for the experience and the food, the standard of service should increase substantially",1
5,"New and comfortable seats, The seats are better and more spacious than the seats in other cinemas. Good sound system and larger screens.",5
6,Went to watch there twice. Both times Im satisfied with the hall condition.  As for beverages and purchase of popcorn shall have to wait awhile as they will serve u hot and nice.,5
7,"I went there for a movie and it was one of the best I have been too! great theater. good prices for food and movies.	",5
8,Clean and spacious seats! Can't watch a movie without popcorn and drink!,5
9,Good place to watch movie. But very cold. Do remember to bring a jacket.,4
10,1st time patron since it opened.  Was impressed with the leg space between back and front seats.  The sound system was good and the Cinema halls were kept clean too. Will go more often from now on.,5
11,The Best thing about this place is.... NOT Many people... so you can really enjoy your movies…,4
12,"Worst experience ever. They didn't even turn on the speakers. Only one speaker was working. It was like watching the movie in television. Don't bother wasting your money and coming, might as well go somewhere else or stay at home.",1
13,"Small but has a good number of theaters. Air conditioning is strong, so bring a jacket",4
14,Love the spaciousness of the cinemas. There's definitely ample leg space for people to pass through. The seats are also pretty comfortable,5
15,"Nice ambience, good place for movies. Except movie ticket prices are getting higher and the food amount is getting lesser.",4
16,Watch on weekday is not crowded at all. Theater is nice and clean. Restroom is in another side of theater. It takes a bit of time for a break during long movie.,5
17, I was at theatre 3 and is not that big. Very clean but super cold. Pls bring along jacket!,5
18,"Nice theatre seats but the food is limited and average, especially the popcorn.",4
19,"Like any other cinemas for the normal theatre, the popcorn served was stale and did not have much flavour. The seats were hard and cold, but I did enjoy the movie.",2
20,"Great customer service, although the waiting time for drinks order was a little longer. Nevertheless, it was a lovely environment, and it was such a great experience",5
21,"This cinema has the highest and strictest standard of ""No outside food and drinks"" I have ever seen in my life. The staff was constantly prowling around and immediately targeting any audience whose food/drinks were not from the cinema.  It was understandable that the rules clearly stated that No outside food and drinks are allowed and the staff were merely carrying out their duties. However,  it was highly distracting for the staff to come in and out of the cinema just to tell the audience that outside food and drinks weren't allowed and to put them away. This really took the whole cinema experience away, and it became hard to enjoy the movie. Will not ever come here again!",1
22,"The cinema itself was good but the service was poor.  When waiting in the queue, there was sprite spilled all over the place and people had to walk on it and get their shoes covered in syrup.  Then the queue was slow as there were only 3 people working the counter.  I happen to get the manager and he was working as a cashier because he said they were understaffed today because it was a holiday.",2
23,"Abit cold, remember to bring a jacket but the seats are very comfy and the screen is very big",4
24, The counter service could be more friendly. It was not busy the moment I came. They did not offer food delivery service as my show already started but one of the food item needs to be cooked.,3
25," They will literally prowl every single cinema hall, searching for every customer who consumes outside food to either stop eating or leave the hall, causing much disturbance to the whole experience and completely destroy the mood. Utterly disappointed.",1
26,"The cinema is clean, with facilities to bin litter. Proper signages are displayed for patrons. Snacks  can also be purchased on site. The cinema has vending machines conveniently placed for additional snacks. Air-conditioning was really good and the place was clean. The customer service staff though were not exactly friendly especially the gentleman manning the gate.  He seemed indifferent and did not bother to say """"welcome"""" nor bothered to acknowledge my """"thank you"".",4
27,"Theatre itself not bad as i have been there before but I went to buy tickets for a m18 movie, i am 18 this year,  the guy at the cashier already checked my IC before letting me buy the tickets then the uncle refused entry? Had to change movies because food and drinks were already purchased. Unpleasant experience.",2
28,"Wow, what a great experience I have with my family members. This place is wonderful and amazing. I never regret the money I spend in this place with my family members. They deserve more than five star, because they have everything that you want, and is good for a relaxing day, and also have good bars around the location. Anyway there staff make me enjoy my stay I appreciate a lot, not only that, the prices of there tickets is very good.",5
29,There is no issue for tall ppl. If you are not tall enough... You may have free ppl head in front while watching movie. Can't believe this till happen on 2023. All the seats is almost same level.,1
30,"I thought long and hard about giving this review, and I hate giving negative reviews because it may mean affecting a staff, but whilst I could live with bad services (which I clarify is not the case here), I could not live with bad hygienic practices. I was collecting drinks and popcorn from a staff called Colleen today. Long story short, she scooped ice into my cup and an ice cube fell out of the cup. I saw that she used her bare hand to swipe the ice into the ice box, and then proceeded to take my cash payment. It is quite disturbing that such a sloppy action could happen when Singapore just exited a challenging COVID era. I could only attribute such action to a lack of robust training and oversight on the part of the management. This is unbecoming and I urge the management to look into how employees are trained and supervised.",1
31,"Good theater for spend time together with family, but better book ticket in advance so you have more choice of schedule & seats. The snack cheese meatballs always be favorite for my kids.",5
32, Good: Huge theater. Usually able to get tickets for popular movie. Cushion are still nicely filled so was quite comfortable. Usual spot to catch my marvel movies. Bad: most seats are abit tilted downwards. Might have a bad posture if movie is long.,4
33,"  Popcorn was stale and tasted off. Seats are very uncomfortable too, and the theatre was very cold. I highly do not advise anyone to come here.",1
34,"The cinema is spacious and clean. However, the food is terrible. Bought a GOURMET caramel popcorn and well I thought how can a popcorn go wrong right? Went in and opened the box, realised it’s sealed in a ‘reheatable pack’… well I opened it and ate the popcorn but guess what? The popcorn is cold on the inside…. Have never tried a cold popcorn… well the caramel popcorn in other cinemas has never gone wrong though. Honestly I’m pretty disappointed.",3
35,Thank you Mehwin for the exceptional service! this is what customer service should be like… she opened the cashier for us even when the counter was closed & our chitchat made all of our days better :),5
36,Cinema hall 2 has chairs that slopes DOWNWARDS! most uncomfortable movie experience ever. Never going again.,1
37,"Wide range of snacks but the air conditioning had to improve as the midway of the movie feels stuffy but overall ok ..	",3
